title,score
Serpentine (book),2.146
Serpent's Egg (novel),2.146
People's Press (Beijing),2.146
"Gmina Osiek, Pomeranian Voivodeship",2.145
South of Scotland (European Parliament constituency),2.145
Batamay (river),2.145
Citrus medica × aurantium,2.145
Lumi (currency),2.145
"Gnilusha, Ertilsky District, Voronezh Oblast",2.145
Roeslerstammia pronubella,2.143
Amir Khan (Guyanese cricketer),2.143
Rasuwa 1 (constituency),2.143
Bright Lights and Country Music (song),2.143
Land (book),2.143
Lindbergichthys nudifrons,2.143
Comedia (trade union),2.143
Lucas Ribeiro (Uruguayan footballer),2.143
Crasna (Teleajen),2.143
HCCS (gene),2.143
Essex North and Suffolk South (European Parliament constituency),2.143
Qilong station (Chengdu Metro),2.14
Cox Creek (South Australia),2.14
Kanchanpur 2 (constituency),2.14
Hodoș (Târnava Mare),2.14
Frog Rock (Connecticut),2.14
View in Wales: Mountain Scene with Village and Castle - Evening (J. M. W. Turner),2.14
Dolce Vita (restaurant),2.139
Lippische Mitteilungen aus Geschichte und Landeskunde,2.139
Sarlahi 1 (constituency),2.139
WSFN (programming language),2.139
Tusk (restaurant),2.139
Stafford County Courthouse (Kansas),2.139
"Gmina Olszanka, Opole Voivodeship",2.139
Sunderland Bridge (village),2.139
Humanitarian (album),2.139
Belle Adair (actress),2.139
"Krasnoye, Kizlyarsky District, Republic of Dagestan",2.139
Going South (book),2.137
Minimum Wage (song),2.137
Twilight Sleep (novel),2.137
Norea (commune),2.137
Themiscyra (Pontus),2.137
Dichrorampha plumbana,2.135
Semra Dinçer (actress),2.135
WKMG (AM),2.135
Rhein (photograph),2.135
Designs (manga),2.133
Absolute Value (album),2.133
WREN (AM),2.133
Plinia grandifolia,2.133
Minle station (Chengdu Metro),2.133
This'll Make You Whistle (musical),2.133
"Kamianka, Polohy Raion, Zaporizhzhia Oblast",2.133
The Wire (radio program),2.133
Taleporia borealis,2.13
Highway H12 (Ukraine),2.13
Arthonia ilicinella,2.13
Helping hand (tool),2.13
Aphanocapsa elachista,2.13
California Theatre (Los Angeles),2.13
Ancylis subarcuana,2.13
R570 road (Ireland),2.13
Venice Island (Pennsylvania),2.13
Styphelia coelophylla,2.13
Spiritus (novel),2.129
Kal Hamara Hai (film),2.129
R690 road (Ireland),2.129
Kavrepalanchok 2 (constituency),2.129
"Eastern Avenue (Washington, D.C.)",2.129
Straw Man (novel),2.129
Cystiscus cratericula,2.129
Humla 1 (constituency),2.129
Nawalparasi (Bardaghat Susta East) 2 (constituency),2.129
Pammene germmana,2.129
R580 road (Ireland),2.127
Salyan 1 (constituency),2.127
Hong Kong Studies (journal),2.127
R740 road (Ireland),2.127
Montenegro (province),2.125
Rac (GTPase),2.125
Lilliput (townland),2.125
Dream (YouTuber),2.125
Mahottari 3 (constituency),2.125
Fraud (book),2.125
Pone (food),2.125
R930 road (Ireland),2.125
Powell Plateau (Arizona),2.123
Eastern Rukum 1 (constituency),2.123
Shadowverse (TV series),2.123
GFRA2 (gene),2.123
Wong Chuk Yeung (Sha Tin District),2.121
Gnaphalium pilulare,2.121
The Land of Heart's Desire (short story),2.121
Roberts Island (California),2.121
Dolakha 1 (constituency),2.121
Dudullu (Istanbul Metro),2.12
Tobin's Spirit Guide (West End Games),2.12
Shuangqiao station (Hangzhou Metro),2.12
Dailekh 2 (constituency),2.12
Valencia Park (San Jose),2.12
Olethreutes doubledayana,2.12
Vesta Creek (Ontario),2.12
Accidentally in Love (TV series),2.117
Tin(IV) nitrate,2.117
Cassandre (Jarrell),2.117
Didymothallus criniceps,2.117
The Business Man (short story),2.117
R. Venkataraman (Indian cricketer),2.117
Rat Rock (California),2.117
R711 road (Ireland),2.117
Dolpa 1 (constituency),2.117
Sapho (Gounod),2.117
Vigia (nautical),2.117
Svay Chek (commune),2.117
Sarlahi 2 (constituency),2.115
Xestia laetabilis,2.115
Dry Cleaning (band),2.115
Xueyuan Road station (Hangzhou Metro),2.115
Attention Span (album),2.115
Los Angeles Tribune (1941–1960),2.115
MAFA (gene),2.113
R707 road (Ireland),2.113
Technetium(III) chloride,2.113
Holly (DJ),2.113
Follower (novel),2.113
Finlayson (district),2.113
Ritual (Australian Plays),2.113
Red Love (novel),2.113
Cattle Call (album),2.111
Liangzhu station (Hangzhou Metro),2.111
Magneto (film character),2.111
Atlantic Peak (Colorado),2.111
Gruzinsky (settlement),2.111
Ministry of Health (Alberta),2.111
Nuwakot 1 (constituency),2.111
145th Street (Manhattan),2.111
Cape Disappointment (Washington),2.11
The Last Castle (novella),2.11
Unleashed (TV program),2.11
TARP (gene),2.11
Ihlamurkuyu (Istanbul Metro),2.11
Arghakhanchi 1 (constituency),2.11
Nanfeng station (Hangzhou Metro),2.11
R40 road (Ghana),2.107
Longsword (novel),2.107
Gallium monoiodide,2.107
Pablo Álvarez (Uruguayan footballer),2.107
Ward Island (California),2.105
Rosthern (provincial electoral district),2.105
The Juggler (Australian Plays),2.105
The Sunday Magazine (radio program),2.105
Rorschach (comic book),2.104
San Uk Tsuen (Yuen Long District),2.104
Kavrepalanchok 1 (constituency),2.104
Silam (state constituency),2.104
Çekmeköy (Istanbul Metro),2.104
Paraivongius flavimanus,2.104
Los Angeles (photograph),2.104
Zyuzino (Moscow Metro),2.104
R704 road (Ireland),2.104
Jack O'Connell (actor),2.104
"Gmina Wilków, Opole Voivodeship",2.102
Kavaĺskaja Slabada (Minsk Metro),2.102
"Gmina Lubrza, Opole Voivodeship",2.102
SNN (gene),2.102
Margarita Pasos (TV host),2.102
Corso di Francia (Rome),2.102
Pammene luedersiana,2.102
Pelochrista agrestana,2.102
Vesta Creek (Alberta),2.102
Moder (river),2.102
Fiction (EP),2.102
Interior of a Gothic Church (J. M. W. Turner),2.102
Colville Lake (Northwest Territories),2.1
R598 road (Ireland),2.1
Universitätsbibliothek Würzburg,2.1
Hainggyi Island (town),2.1
Cumulus (sculpture),2.1
BiP (software),2.098
Carmeuse Lime & Stone (railroad),2.098
Ner Tamid (Fear the Walking Dead),2.098
The Blood Oranges (novel),2.098
City of Darkness (novel),2.098
Enge (Zürich),2.098
Presidents Cup (Rugby League),2.098
Bang Kaeo (town),2.096
Lesnoy Prospect (Saint Petersburg),2.096
Big Hill (City of Greater Bendigo),2.096
Dichrorampha teichiana,2.096
Tytthoscincus monticolus,2.096
CBX5 (gene),2.094
Reinforcement (composite),2.094
"Dossier (Portland, Oregon)",2.094
Bis(triphenylphosphine)iron tricarbonyl,2.094
"Lansdowne, New South Wales (Mid-Coast Council)",2.094
Subadyte papillifera,2.094
Second Guessing (song),2.094
Hallituskatu (Tampere),2.094
"Gmina Janów, Silesian Voivodeship",2.092
"Odra, Silesian Voivodeship",2.092
